Person_id,Name,Gender,Age,SelfEsteem,Talkative,Adventurous,Passive,Empathy,Personality
1,Person_1,Male,49,3,9,2,5,3,Introvert
2,Person_2,Female,56,1,6,2,8,2,Introvert
3,Person_3,Male,49,4,3,2,9,1,Introvert
4,Person_4,Male,21,5,1,3,2,7,Extrovert
5,Person_5,Male,47,7,4,2,3,7,Extrovert
6,Person_6,Female,54,1,9,4,3,2,Extrovert
7,Person_7,Male,40,3,3,9,1,7,Extrovert
8,Person_8,Male,56,2,9,6,8,8,Introvert
9,Person_9,Male,62,9,7,1,6,1,Introvert
10,Person_10,Female,32,10,4,8,8,9,Introvert
11,Person_11,Male,60,6,3,7,9,7,Introvert
12,Person_12,Male,46,10,10,10,5,3,Extrovert
13,Person_13,Male,53,3,5,3,3,8,Extrovert
14,Person_14,Male,30,8,5,1,5,7,Extrovert
15,Person_15,Female,49,8,3,5,5,8,Extrovert
16,Person_16,Male,24,2,9,4,5,6,Extrovert
17,Person_17,Female,39,6,4,10,3,9,Extrovert
18,Person_18,Female,45,7,5,8,10,5,Introvert
19,Person_19,Female,19,2,4,1,4,3,Introvert
20,Person_20,Male,59,10,5,10,9,3,Introvert
21,Person_21,Female,62,2,7,1,10,1,Introvert
22,Person_22,Male,23,10,9,4,9,8,Introvert
23,Person_23,Female,45,1,7,8,2,2,Extrovert
24,Person_24,Female,45,8,5,5,8,3,Introvert
25,Person_25,Female,61,1,10,2,8,8,Introvert
26,Person_26,Female,61,9,10,6,7,8,Extrovert
27,Person_27,Female,37,6,7,5,8,4,Introvert
28,Person_28,Female,47,7,10,2,3,4,Extrovert
29,Person_29,Female,28,10,5,3,6,5,Introvert
30,Person_30,Female,45,7,3,9,1,6,Extrovert
31,Person_31,Male,42,10,7,7,7,5,Extrovert
32,Person_32,Male,56,3,2,7,1,7,Extrovert
33,Person_33,Female,50,2,9,6,9,2,Introvert
34,Person_34,Female,18,9,10,8,1,7,Extrovert
35,Person_35,Female,44,8,10,4,1,10,Extrovert
36,Person_36,Male,30,10,1,8,7,7,Introvert
37,Person_37,Female,58,7,6,4,2,1,Extrovert
38,Person_38,Male,20,9,7,8,5,7,Extrovert
39,Person_39,Male,56,4,8,9,8,5,Introvert
40,Person_40,Male,23,4,10,3,8,3,Introvert
41,Person_41,Male,25,1,9,3,3,3,Extrovert
42,Person_42,Male,44,8,2,2,7,4,Introvert
43,Person_43,Female,26,3,10,10,3,2,Extrovert
44,Person_44,Female,54,7,2,3,6,2,Introvert
45,Person_45,Female,50,2,5,3,6,1,Introvert
46,Person_46,Female,59,2,5,5,3,5,Extrovert
47,Person_47,Female,61,7,6,5,7,4,Introvert
48,Person_48,Male,41,6,3,2,3,10,Extrovert
49,Person_49,Female,32,3,8,10,8,2,Introvert
50,Person_50,Female,49,9,1,6,10,3,Introvert
51,Person_51,Male,49,10,6,5,4,7,Extrovert
52,Person_52,Female,41,6,4,6,1,7,Extrovert
53,Person_53,Male,58,10,1,1,4,4,Introvert
54,Person_54,Female,29,10,7,5,7,5,Introvert
55,Person_55,Male,56,6,9,9,4,5,Extrovert
56,Person_56,Female,19,1,4,10,6,6,Introvert
57,Person_57,Female,20,4,4,2,9,9,Introvert
58,Person_58,Male,54,10,6,1,1,2,Extrovert
59,Person_59,Male,34,6,3,10,5,5,Extrovert
60,Person_60,Male,19,6,6,9,7,3,Introvert
61,Person_61,Male,19,5,7,10,1,4,Extrovert
62,Person_62,Male,45,1,10,9,4,10,Extrovert
63,Person_63,Male,40,8,10,9,6,6,Extrovert
64,Person_64,Male,54,5,3,6,2,8,Extrovert
65,Person_65,Male,49,5,7,8,10,1,Introvert
66,Person_66,Female,50,7,3,1,5,10,Extrovert
67,Person_67,Female,18,4,2,10,10,8,Introvert
68,Person_68,Male,36,6,10,4,1,7,Extrovert
69,Person_69,Female,19,4,4,1,6,1,Introvert
70,Person_70,Female,61,3,8,8,6,2,Introvert
71,Person_71,Female,43,7,9,1,4,3,Extrovert
72,Person_72,Female,49,8,7,3,8,1,Introvert
73,Person_73,Male,23,4,1,4,4,9,Extrovert
74,Person_74,Female,49,2,3,8,8,8,Introvert
75,Person_75,Male,21,10,9,6,8,2,Introvert
76,Person_76,Female,28,3,1,10,5,9,Extrovert
77,Person_77,Female,34,1,9,7,4,7,Extrovert
78,Person_78,Female,55,8,8,8,2,9,Extrovert
79,Person_79,Male,41,3,1,2,3,6,Introvert
80,Person_80,Female,22,10,6,10,3,6,Extrovert
81,Person_81,Male,51,7,5,8,4,4,Extrovert
82,Person_82,Female,23,10,6,3,4,10,Extrovert
83,Person_83,Male,39,5,10,7,10,10,Introvert
84,Person_84,Female,28,10,5,3,5,2,Introvert
85,Person_85,Male,33,5,6,7,4,7,Extrovert
86,Person_86,Male,50,7,5,2,10,5,Introvert
87,Person_87,Female,26,9,5,10,8,6,Introvert
88,Person_88,Male,23,5,4,6,6,2,Introvert
89,Person_89,Female,33,1,3,3,6,5,Introvert
90,Person_90,Female,46,10,3,3,8,10,Introvert
91,Person_91,Female,20,10,4,9,7,4,Introvert
92,Person_92,Female,37,1,9,7,10,9,Introvert
93,Person_93,Female,53,2,2,5,10,6,Introvert
94,Person_94,Female,36,6,9,10,8,2,Introvert
95,Person_95,Female,43,9,1,7,2,1,Extrovert
96,Person_96,Female,20,8,1,9,9,5,Introvert
97,Person_97,Female,36,5,5,1,1,9,Extrovert
98,Person_98,Female,37,1,6,7,8,6,Introvert
99,Person_99,Female,49,7,6,6,4,10,Extrovert
100,Person_100,Male,24,5,3,10,4,7,Extrovert
101,Person_101,Male,58,6,7,9,5,5,Extrovert
102,Person_102,Female,50,7,9,1,8,10,Introvert
103,Person_103,Female,57,3,10,4,5,6,Extrovert
104,Person_104,Female,56,10,8,9,8,5,Introvert
105,Person_105,Female,35,3,6,4,10,9,Introvert
106,Person_106,Female,57,5,8,10,1,6,Extrovert
107,Person_107,Female,18,6,5,3,10,8,Introvert
108,Person_108,Female,28,9,8,9,9,2,Introvert
109,Person_109,Female,45,5,10,2,6,9,Extrovert
110,Person_110,Male,42,1,4,4,3,5,Extrovert
111,Person_111,Female,40,4,10,6,8,7,Introvert
112,Person_112,Male,48,5,8,2,9,10,Introvert
113,Person_113,Female,47,10,10,8,6,1,Extrovert
114,Person_114,Female,59,10,2,8,7,10,Extrovert
115,Person_115,Male,52,5,5,1,1,5,Extrovert
116,Person_116,Female,24,7,9,3,5,10,Extrovert
117,Person_117,Male,33,4,4,10,5,2,Introvert
118,Person_118,Female,43,1,6,9,10,6,Introvert
119,Person_119,Female,19,5,1,5,4,1,Introvert
120,Person_120,Male,18,7,9,6,6,3,Extrovert
121,Person_121,Female,29,10,1,4,7,5,Introvert
122,Person_122,Male,22,10,5,10,9,4,Introvert
123,Person_123,Female,54,6,4,2,1,3,Extrovert
124,Person_124,Male,49,5,3,8,6,10,Extrovert
125,Person_125,Male,26,4,6,6,7,5,Introvert
126,Person_126,Female,58,2,2,5,3,8,Extrovert
